评论者,推荐力度,评论时间,评论内容
犀牛,力荐,"
2005-10-28 00:28:07
                ",当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
kingfish,力荐,"
                    2006-03-22 12:38:09
                ",不需要女主角的好电影
如小果,力荐,"
                    2008-02-27 21:43:23
                ",恐惧让你沦为囚犯，希望让你重获自由。――《肖申克的救赎》
文泽尔,推荐,"
                    2008-01-14 01:53:08
                ",人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.iphope
Eve|Classified,力荐,"
                    2008-05-09 23:15:34
                ",“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事――让你从不同的角度来欣赏希望的美好。
711|不I,力荐,"
                    2010-03-27 21:30:29
                ",策划了19年的私奔……
艾小柯,力荐,"
                    2006-06-20 03:18:55
                ",关于希望最强有力的注释。
赫克托尔,力荐,"
                    2007-06-06 12:22:55
                ",有种鸟是关不住的.
寂地,力荐,"
                    2006-01-02 23:57:15
                ","超级喜欢超级喜欢,不看的话人生不圆满."
理想多钱一斤啊,推荐,"
                    2009-10-07 19:58:08
                ","Hope is a good thing, and maybe the best thing of all."
影志,力荐,"
                    2006-02-04 05:58:22
                ","Fear Can Hold You Prisoner, Hope Can Set You Free"
快乐人生,推荐,"
                    2018-01-04 11:51:34
                ",不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
Doublebitch,推荐,"
                    2007-12-24 17:50:21
                ",绝对是期待过高导致有点失望
葱,力荐,"
                    2012-05-28 22:57:42
                ",这样的男人谁会舍得背叛。。。
veronique,力荐,"
                    2006-06-15 18:56:18
                ","一部没有爱情与美女的电影,却光芒四射"
珍妮的肖像?,力荐,"
                    2006-11-13 08:41:13
                ",没有人会不喜欢吧！书和电影都好。
私享史,力荐,"
                    2005-10-08 14:35:04
                ",因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。
朝暮雪,力荐,"
                    2012-08-07 15:39:12
                ",“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。
挽梦忆笙歌,力荐,"
                    2018-01-13 11:21:05
                ",一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
如是,力荐,"
                    2018-03-14 11:48:26
                ",还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
顾俏乜,推荐,"
                    2017-05-03 19:04:54
                ",通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
小海,力荐,"
                    2010-01-28 22:52:32
                ",这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
美好生活,力荐,"
                    2016-11-14 23:44:21
                ",肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
雨滋味,推荐,"
                    2018-01-31 08:46:09
                ",救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
南笙,力荐,"
                    2012-01-06 23:02:43
                ",对不起，我戒酒了。
眠去,力荐,"
                    2007-02-20 10:56:01
                ",hope is a good thing
小耳朵图吗,力荐,"
                    2007-08-21 06:50:24
                ",越狱我感觉就是改编自这个
百骨金titi,推荐,"
                    2018-01-12 14:08:20
                ",真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
苏多多,力荐,"
                    2018-01-20 13:54:58
                ",这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
小易甫,还行,"
                    2008-06-08 14:49:34
                ","在我的心目中,它一直都是最被高估的电影。"
Ocap,还行,"
                    2015-06-30 22:20:52
                ",几年后，五星改成三星。
momo,推荐,"
                    2021-02-02 22:28:40
                ",其实理解不了为什么这部影片会排名第一…
乐安蓝,力荐,"
                    2008-03-02 15:00:17
                ",明修栈道，暗渡陈仓
毛利,力荐,"
                    2006-11-21 20:12:53
                ",看完让人很振奋
不良生,推荐,"
                    2016-05-18 09:30:06
                ",天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。
雨果,力荐,"
                    2016-12-23 19:03:28
                ",好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
赫恩曼尼,力荐,"
                    2012-06-29 15:24:52
                ",若你试自由如生命，你愿意用20年等来一日的逃脱。
遇见彩虹?,力荐,"
                    2017-10-25 10:14:27
                ",何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
七沐妹妹,力荐,"
                    2018-01-24 13:46:00
                ",怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。 
yocofcjx28,力荐,"
                    2016-11-12 16:01:50
                ",太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
壳子,力荐,"
                    2017-01-03 10:35:31
                ",发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望
橘猫爱吃鱼,力荐,"
                    2018-01-12 16:31:58
                ",这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
九尾黑猫,较差,"
                    2008-03-19 00:32:02
                ",真的不喜欢，不好看，没感觉
叶荣添,较差,"
                    2011-02-21 11:07:22
                ",大众经典我从不感冒，为什么？我欣赏水平不行？
东篱,推荐,"
                    2018-01-20 18:53:42
                ",经典老电影就是不一样，重温了无数遍呢
谋杀游戏机,力荐,"
                    2009-09-11 17:32:51
                ",高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
铃儿响叮当,还行,"
                    2017-01-05 23:47:03
                ",好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！
我不绝望,较差,"
                    2006-10-05 22:11:30
                ",有那么好吗？？？？？
老鸡｜扶立,力荐,"
                    2008-01-10 13:23:26
                ",我最喜欢的电影
波波维奇,力荐,"
                    2018-01-20 16:48:59
                ",非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
A天涯任我行,推荐,"
                    2018-01-11 01:21:55
                ",可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味
毛驴哥????,力荐,"
                    2005-12-26 22:57:17
                ",不多说了
豆辛瓜辛,推荐,"
                    2018-01-10 19:59:47
                ",在这世上生存就得有一项特长，再者坚持就是胜利吧。
豆瓣酱,推荐,"
                    2017-01-08 12:59:58
                ",经典是可以反复品味的，安迪对生活和自由充满向往，出狱对他来说是新生;而早已习惯了监狱生活的瑞德，已变得麻木，出狱对他来说就是死亡。
我读书少♂,还行,"
                    2017-08-12 10:25:50
                ",当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
程晴之,力荐,"
                    2018-01-16 11:47:12
                ",很久之前看的了，印象深刻的是一位老人在出狱后不知道如何生活了，外面的一切都是他所不熟悉的，无法正常的工作，交流，生活。最终选择结束了自己的生命。习惯真的是一种极其强大的可怕的力量！
尽欢,力荐,"
                    2017-12-26 11:32:50
                ",习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。
婷婷爱八卦,力荐,"
                    2017-12-20 17:30:46
                ",几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！
如月之恒,力荐,"
                    2022-10-15 01:33:49
                ",我发现影史顶尖的作品，都反映了人的执念，一种笃定一切的意志力，这种意志不被人理解，但让人佩服，因为大多数人不敢付出这样的代价，他们不敢相信这一切的价值。自由和希望，就是每个人活着的一根弦，绷着就能生，断了就得死。所以“要么忙着去活，要么忙着去死”，在于选择。如果你愿意相信自己会是那只光彩夺目的鸟，那你就不可能被困在牢笼之中，因为安迪的牢笼是他自己打开的。
?,推荐,"
                    2018-01-17 12:47:11
                ",还是经典的老电影振奋人心，主人公逃出监狱在河流中张开双臂的画面记忆犹新。
欢乐分裂,力荐,"
                    2016-05-14 22:25:09
                ",#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。
艾晨,力荐,"
                    2017-08-09 18:25:46
                ",2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。
朱岳,力荐,"
                    2021-11-27 23:23:19
                ",二十岁以为自己是在外边看，四十岁才明白自己是在里边看。
逐离,推荐,"
                    2021-05-14 23:30:11
                ",无疑是好看的。但这么高的评分却是夸大了
七七,推荐,"
                    2018-02-26 23:33:51
                ",肖申克的救赎，这部电影很好看，值得推荐
八贝勒爷,推荐,"
                    2018-04-04 08:40:50
                ",好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
徐小花,力荐,"
                    2006-08-16 17:46:16
                ",酣畅淋漓
?天神的审判,推荐,"
                    2018-05-16 11:14:17
                ",这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！
美神经,力荐,"
                    2017-05-03 09:48:29
                ",上个学期全班同学一起看的心理电影，下课了依旧不舍的坐在位置上，盯着那屏幕，看到最后，嗯，他活着出来了。信念，满满的充斥着内心，如果是我，可能早就死在那四面铜墙里了，哪还有后来呢。人生，可能就是这样，总是希望伴着绝望，那要看你是想救赎自己还是了结罢了
考拉小巫,力荐,"
                    2012-07-09 12:01:30
                ",最最最最最好看的电影。没有之一。
小岩井,力荐,"
                    2015-12-13 03:04:41
                ",任何时候，都不要放弃希望。
命中注定的爱,力荐,"
                    2018-03-06 19:15:34
                ",电影很励志，感悟很深，最主要的是让我学会坚持，送给在生活中遇到挫折的人！
tlmgt,较差,"
                    2014-02-01 01:18:53
                ",有点好奇这部片为何被过度赞誉到这个地步・・・
Konec,较差,"
                    2011-04-10 14:05:23
                ",虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。
世界尽头,力荐,"
                    2017-06-08 18:50:36
                ",人性伟大，会软弱，但更多的是坚韧
酒鬼一家小迷妹,力荐,"
                    2018-03-01 08:28:58
                ",经典，很久以前看的了。人活着就得有希望。
思无邪,力荐,"
                    2018-01-13 09:20:49
                ",任何时候都要坚持，坚持就会成功的，但现实能一直坚持的人是少的。值得一看
死鬼,力荐,"
                    2018-02-09 21:19:15
                ",要么忙着活 要么忙着死 人应该对现有生活保持乐观的心态 充满希望 学会享受 而不是得过且过 苟且偷生 这种人生还有什么意义呢？还不如趁早去死 活着也是浪费资源
花落  思量错,力荐,"
                    2017-02-07 23:54:44
                ",“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。
遥の,力荐,"
                    2022-10-03 22:04:14
                ",真正的救赎从来不是词汇意义上的“彻底改造”，而是在历经劫难、遗失人生重要年华过后依然渴求灵魂与躯体的自由和无上美好的希望
秋瞑,力荐,"
                    2018-02-03 16:08:57
                ",好的电影值得所有人反复观看，这就是一部。
蝶雨成宣,力荐,"
                    2016-10-31 22:11:17
                ",这部被称为《刺激1995》的影片在中国影迷间也有极好的口碑，可见电影超越国界的神奇之处。
喻鸣,力荐,"
                    2013-11-08 00:06:03
                ","对推上神坛的电影总是莫名恐惧，以致雪藏了多年才看。看完发现它之所以雄踞各类榜首，是因其他至多称作经典，而它却可称作伟大。Fear Can Hold You Prisoner, Hope Can Set You Free .Hope is a good thing."
蓝婷飞絮,力荐,"
                    2016-12-30 10:55:47
                ",看完之后，只觉得烧脑。看第二次，我只觉得男主人太厉害了。
juvenile,力荐,"
                    2018-01-16 16:14:38
                ",救赎每次看都有一种新的感觉，没有什么能够形容我对他的崇拜，人生若是真的能自由自在的在日落的时候喝着沁人的冰啤，那该是多么美好啊。
kmkgcwzy,力荐,"
                    2018-02-19 11:07:52
                ",希望有朝一日中国也能拍出这种有深刻人生内涵的电影
慕,力荐,"
                    2016-12-27 12:49:58
                ",自我救赎才是唯一的出口。感叹于知识改变命运啊。
深夜的光,力荐,"
                    2018-02-22 15:36:51
                ","一部没有女主,没有爱情的好电影！不可超越的励志佳片，真的很令人感动的美国电影！炒鸡推荐?五星绝对的！"
大志的小耳朵,力荐,"
                    2016-12-28 13:06:55
                ",精彩，永远别放弃，即使要很久以后才会成功。每天努力一点点，坚持不懈，总会有收获。
炫3D,力荐,"
                    2017-03-17 13:35:52
                ",总觉得美国大片更容易直面人性，直面真实的社会。
杨迪,力荐,"
                    2009-12-19 14:08:35
                ",最后那一瞬间啊  
宇宙塑胶魔怪,较差,"
                    2009-04-25 13:06:17
                ",史上最有名的烂俗励志片，没有之一
滚滚的麻麻,力荐,"
                    2017-08-15 00:19:21
                ",重看次数最多的电影
ceci?,力荐,"
                    2018-04-05 11:54:49
                ",真的好好看呀，对得起它那么高的评分，我要找小说来看一遍了
叫她孙女凯拉走,力荐,"
                    2017-03-22 01:52:57
                ",要么忙着活，要么忙着死。
潇湘烟雨,力荐,"
                    2018-04-05 10:22:41
                ",很经典的电影，也很励志，人不管身处何种境地永远不要放弃希望
Lycidas,力荐,"
                    2016-05-14 22:56:36
                ",天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。
已注销,力荐,"
                    2018-01-24 21:31:23
                ",几年前看的，看完之后挺久了才回神，第一次因为看了一部电影反思自己。是我心中电影的第一名～
自然卷要卷毛,力荐,"
                    2018-02-17 16:55:42
                ",我以为是个压抑影片，最后，我发现了希望的光。hope，谁也无法夺走，谁也无法消灭。这部影片，值得一看。
uranushb,力荐,"
                    2021-01-31 18:03:53
                ","Hope is good thing, and is everything. "
齐木楠雄,力荐,"
                    2016-09-11 22:20:44
                ",非常触动人心的经典
七七,推荐,"
                    2018-02-26 23:33:51
                ",肖申克的救赎，这部电影很好看，值得推荐
然悔悟,力荐,"
                    2017-03-18 17:09:11
                ",很久以前就想看这部剧，今天终于看了。最震撼的就是安迪越狱的那一段，无论是配乐还是色彩或是安迪的动作神态，都掌握的很好！从此以后，他再也不用承担本不是他的惩罚，他，终于自由了！
八贝勒爷,推荐,"
                    2018-04-04 08:40:50
                ",好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
梦里诗书,力荐,"
                    2015-08-02 17:37:10
                ",很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。
Muto,较差,"
                    2018-05-01 16:26:42
                ",这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。
穆青,力荐,"
                    2017-05-08 23:15:09
                ",懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人 
Meursault,力荐,"
                    2021-01-30 19:34:53
                ",你知道，有些鸟儿是注定不会被关在牢笼里的。
数峰青,力荐,"
                    2021-02-06 22:22:10
                ",我想打100分，最大的感受除了，知识真的可以改变命运。还有要永远热爱生活。hope is  good thing.
我读书少♂,还行,"
                    2017-08-12 10:25:50
                ",当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
Leon Winters W,力荐,"
                    2016-01-07 15:15:52
                ",影响自己人生观的一部电影，距离斯蒂芬・金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。在我眼里，肖申克的救赎与信念、自由和友谊有关。
嘻嘻,力荐,"
                    2018-05-13 22:12:13
                ",看到豆瓣排名第一，很好奇去看了这部电影，印象最深的就是图书馆的老爷爷坐50年牢出狱后因为适应不了外面的生活选择上吊自杀，最后男主获得自由，瑞德和男主在海边相遇很暖
?,力荐,"
                    2017-03-18 14:07:34
                ",朋友在你的生命中进进出出，好像餐厅中的侍者来来去去一样。可是每当我想起那场梦、想到那两具尸体正用力拖我下水的时候，我就觉得这样也好。有的人会沉沦，如此而已，并不公平，但世事就是这样，有的人会沉沦下去。希望还是要有的，没了希望，怎么行
O,力荐,"
                    2018-11-02 22:18:32
                ",重温，时间只是好电影的又一个证明。二十年前的经典，二十年后还是，同样的题材，有的过去能做到，有的今天也无法领悟，这就是差距。当故事最后两个老友在蔚蓝大海边重聚拥抱的时候，希望，是最好的，美好的事永不消逝。有人问，为何肖申克的救赎备受推崇。因为这部电影并不是在讲越狱，也可以这样说，它不是为了讲越狱。人活在这个世界，或多或少都会如同片中所述，经历“体制化”，磨难，逐渐麻木，看不到希望，如老布。而这部电影最终告诉你，哪怕过去20年、30年、40年，有希望，就会有美好的事，如安迪和瑞德。观众看完这部电影，内心会跟着这部电影走过一个由绝望到希望的历程。这是一场心灵的救赎，是对观众的。这是肖申克的救赎的伟大之处。
偏要勉强,力荐,"
                    2018-02-12 20:39:04
                ",太经典了！值得反复推敲，每看一次都能得到新的体悟！
妈咪宝贝,力荐,"
                    2016-11-05 01:19:47
                ",一个内心坚强有信念的人
美好时光只为你,力荐,"
                    2017-04-29 20:58:10
                ",印象很深的一部电影，虽然很绝望，但永远不要放弃希望。
一蓑烟雨任平生,力荐,"
                    2018-04-23 07:27:20
                ",电影塑造了一个充满希望，向往自由的男主人公形象。在身边的人都变得体制化之后，只有他是怀有希望之人。小说里面出现过两个人的旁白，一个是男主的好朋友，一个是看守图书馆的人，以这种别人的视角来诉说，更给人一种悬疑感和真实感。
?天神的审判,推荐,"
                    2018-05-16 11:14:17
                ",这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！
蒜 | BOY A ?,力荐,"
                    2008-01-19 15:59:23
                ",2002.3.3 DVD 2007.7.27 DVD home2008.8.2  CCTV6
summersouljul5,推荐,"
                    2022-10-24 18:09:03
                ",整部电影有点像爽剧，给我的最大感受不是自由真好，而是脑子聪明真好。Andy越狱后的一切过于完美，以至于在最后一幕，当蓝得不真实的大西洋出现时，我一度怀疑这一切都是Red老头的美好幻想――其实Andy已经精神崩溃，或者越狱的时候被击毙。而他照例无法被保释，老死在监狱。人生最后的日子里，为了消磨时光，在脑海里编一些不一样的结局，弥补今生的遗憾。     然而，既然这部电影一直强调“希望是个好东西”，所以行吧，来点儿积极的：祝我们不满足于肖申克的冷啤酒、音乐和图书馆，而是走出墙外，一直往大西洋走去。祝我们有智慧和勇气踏上一条充满不确定性的自由之路。祝我这条影评别给我惹来麻烦。
一期一会,还行,"
                    2017-01-06 20:42:54
                ",该影视简介由豆瓣网专职人员撰写或者由影片官方提供，版权属于豆瓣网，未经许可不得转载或使用整体或任何部分的内容。20世纪40年代末，小有成就的青年银行家安迪（蒂姆・罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望
扌丁月佥,推荐,"
                    2017-03-22 12:38:49
                ",不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。
徐若风,力荐,"
                    2012-07-19 12:14:59
                ",生的酣畅淋漓。
狗富贵,力荐,"
                    2017-05-05 18:00:55
                ",最后奔跑拥抱那里真的好感动。
孔雀鱼,力荐,"
                    2016-11-30 14:40:31
                ",这部片子播后，入狱的场景衍生一系列的同人文，教皇般的典狱长，东西两派，同性狎轧成了美国监狱片少不了的场景。当然被人津津乐道的一个场面是，男主角逃脱出狱后迎着风雨呐喊自由的场景。
momo,力荐,"
                    2016-08-07 02:59:57
                ",应该再看一遍
美女菜kun,力荐,"
                    2017-01-01 23:40:30
                ",经典老片，一看再看。过几天再把书看一遍！
白竹,很差,"
                    2008-08-15 21:01:39
                ",我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。
刘昊然（恋爱版,力荐,"
                    2018-01-13 08:30:16
                ",这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!
冰红深蓝,推荐,"
                    2013-04-17 14:15:43
                ",不够味道。
鄙隅,力荐,"
                    2017-09-24 14:17:00
                ","永远不能失去的是希望。一个交心的挚友，一个聪明优秀的人，一份经年不变的毅力，是一只羽翼丰润，带着你的心飞出牢笼寻找希望的鸟儿。Get busy living,or get busy dying."
侯二六,力荐,"
                    2008-03-23 14:55:47
                ",v使《基督山伯爵》c《刺激一九九五》之g，鼍芭c⑹率址ǖ牟町可^不小，《刺激一九九五》s比很多直接改自《基督山伯爵》的影∽髌罚更能wF《基督山伯爵》的精髓。全文：http://hou26.org/zeta/cristo.htm
