评论者,推荐力度,评论时间,评论内容
被荷之晏晏,力荐,"
                    2017-04-03 10:59:14
                ",一个关乎友情和信念的故事。不消多说什么，看看他的故事，你那些挫折又算什么呢?“Get busy living or get busy dying”
crossrainbow,力荐,"
                    2017-03-24 01:10:40
                ",这部剧真的是经典中的经典，无论从故事构架剧情还有演员演绎上都是完美作品，发人深思
高冷之花白月初,力荐,"
                    2017-05-03 09:40:42
                ",看过3遍，每次看都有不同的感受，最大的体会大概是人要永远充满希望吧
小葱,力荐,"
                    2017-02-26 00:01:18
                ",非常好看，经典。有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！
K小北,力荐,"
                    2011-09-06 00:26:06
                ",在W上JR的很多喜g文片的朋友都很排斥@部片子，然而s是我看的次当容^多的一部，K且每次看都不吲d，ξ碚f，他是我的蒙影，正是男ど昕碎_始，我喜g上了影，得第一看後的激樱o姐姐打，絮絮叨叨地v著@N一P於囚禁c理想和自由的故事，那r的自己一天真。
汝就做吾的犬吧,力荐,"
                    2008-07-23 23:29:58
                ",Brook上吊那段和监狱里放音乐那段真的是震撼到我了，看似是反映囚犯监狱生活的片子最后反而变成了一部越狱的斗智片，也不能算非常励志但也多多少少能给人点启发，
Sophie  Z,力荐,"
                    2008-04-03 20:13:04
                ",我记得那是高中网球课下课后的美术课，我疲惫到无法动弹的身体看得汗毛竖立。
AG,较差,"
                    2009-08-30 20:37:43
                ",明明是勇敢的心式的狗血剧。
跨过卢比孔河,还行,"
                    2022-04-12 22:46:38
                ",回顾此片，觉得颇为避重就轻，“生活把你逼到墙角时你能做什么”的答案真的是把墙凿穿吗，面对房间里的大象真的应该抖个“但房间也有门实在不行还有窗”的机灵吗。此一。那么多被生活毒打的人又有哪个是安迪呢，享有天赋、朋友、运气，监狱里那么多犯人被体制化而不还手甚至不自知真的是他们自己的错吗。很多时候教育和启蒙是一种特权，拥有的人应该谦卑，没有的人不应该成为靶子。拿现实生活中的你我对照看看就知道了，我们是安迪吗，显然不是。此二。生活是一坨屎，靠着别人没有的资本爬出这坨屎是生活这个问题的答案吗，或者说爬出这坨屎本身是吗？此三。
井戒,力荐,"
                    2010-12-30 17:39:28
                ","不愧为经典，一颗至善、自由的心，万世糜烂也澄明无瑕。Hope is a good thing, maybe the best of things, and no good thing ever dies. 无论是安迪神秘的笑容，还是最后一幕的碧海蓝天，都平静令人屏息，难于忘怀"
麻酱凉皮,推荐,"
                    2016-12-27 12:45:33
                ",为了自由，人真的是有非常大的毅力，前面看的有趣，后半段越来越压抑，尤其是那个小卷毛说好了作证，却被长官枪杀，很难受，男主从下水道钻出来的时候算是全片的高潮了吧，看完只想说一句话“知识就是力量”。
萧紫,力荐,"
                    2017-04-11 17:45:25
                ","some birds aren't meant to be caged, that's all. their feathers are just too brightget busy living,or get busy dying..."
小肉兔,力荐,"
                    2017-06-15 23:29:50
                ",逆境中的挣扎 在绝望中生出一朵花
淡水无香,力荐,"
                    2016-05-14 12:52:00
                ",希望不需要热情，热情的希望只是灵魂深处一次不经意的冲动。
落拓,推荐,"
                    2017-03-16 19:26:05
                ",很经典的一部电影，也很励志，值得推荐。
豆腐花是咸的,推荐,"
                    2018-05-18 11:28:53
                ",聪明人的反击，报复的畅快感，美国不是天堂，但美国人却很NB。
Lucifer,力荐,"
                    2009-12-14 23:48:38
                ",自由和信念，还有希望！即使在一个人类最专制，最没有自由的监狱里，他依然没有放弃希望，即使面对死亡的威胁，他也不放弃自己做为一个在的原则！他理当得到一切――自由，财富，还有好朋友！
猛汉世雄,力荐,"
                    2015-02-14 16:19:36
                ",经典就是经典，虽然我看得这么晚，但真庆幸我有看！
茕茕白兔,力荐,"
                    2018-05-14 08:54:41
                ",没有女主，无需爱情，同样精彩。其中悬疑成分很惊喜。影片表达出来的对自由，对希望，对梦想的追求令人感动
全都是风,较差,"
                    2007-01-15 13:54:12
                ",精英奋斗史，还不如基督山伯爵。
李阿笑1999,力荐,"
                    2017-01-11 22:36:41
                ",在班里看的  爬出来的时候全班欢呼  
幸而,力荐,"
                    2017-05-29 22:00:15
                ",经典果然是可以反复品味的。看第二遍仍然很震撼
klzbyxg,力荐,"
                    2017-04-06 15:40:24
                ",经典！值得多次看的好电影！
甘草披萨,力荐,"
                    2007-09-03 13:06:55
                ",影城巨幕看完，像是终于可以对电影说“爱过”了。一直想本片何以始终高居IMDB250榜首，也许从安迪公园散步般的步调，整体分寸的把握，摄影剪辑音乐等等几乎每一个重要的组成环节都无不透着醇笃从容自带贵气的节奏感，绝无急吼吼的喧嚷叫嚣或企图证明什么，也许这就是它成功的重要方面吧
川总,力荐,"
                    2012-01-17 20:03:35
                ",前半段出现的监狱片惯有的爆菊桥段不够劲爆让我略失望，但是到后面，我竟然看湿了眼眶。
蓝抑郁剂Lily?,推荐,"
                    2014-05-18 02:20:22
                ",其实我看不出这部电影精彩在哪里，但看过就是让人回味悠久。
云裳,力荐,"
                    2012-11-05 16:13:21
                ",2日前又看过的不知第几遍。依旧激动和感动。知了结尾再看过程，会发现男主角演的真不错，高贵的人性，沉默坚韧的性格，强大自由的内心。。。真爱啊。。。在任何环境，他都像闲庭信步在自家的庭院。。。还有什么能关住他，监狱也不过是他人生的一个驿站而已。自由，希望，珍贵无比。
瞧一瞧,推荐,"
                    2018-04-26 08:24:51
                ",经典台词“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
ZWW,力荐,"
                    2017-08-09 20:56:32
                ",Hope is a good thing
Edi,力荐,"
                    2022-05-23 12:05:54
                ",作为一个从特殊体制内出逃的人，当时离开时发了一个朋友圈用的就是这张海报，直到现在依然不会后悔，just like Andy.
南风,推荐,"
                    2018-05-15 23:51:56
                ",既有对美国司法制度、监狱制度的深度批判，又有对人的坚定信念的无尽赞美，同时也对友情和生命的好处做了深入和形象的阐释和探讨，是一幅有着现实主义的外衣却隐藏着极度浪漫的内核的潇洒飘逸的生命画卷，值得我们珍藏和揣摩一生。
某J。624,力荐,"
                    2010-10-16 21:54:32
                ",94年的片子。不管是演员，剧情的发展，后期剪辑，都很流畅啊。看得我再次冒出不要完啊不要完啊的心声。希望是件好事，好事永远不会死亡。我们都以为一切就如此了，却不知道，我们都还可以试着飞翔。
怀山鹿,力荐,"
                    2007-09-28 16:58:20
                ","some birds aren′t meant to be caged, that′s all. Their feathers are just too bright... Hope is a good thing, maybe the best of things, and no good thing ever dies."
秀山鲤鱼,推荐,"
                    2016-11-20 22:38:32
                ",8.5分，这部95年的时候名气远没有阿甘大，那年看过的电影最喜欢的是这部和《非常嫌疑犯》，现在竟然都进250了，这部貌似还是魁首。看来小众和流行在岁月变迁后也就是一步之遥。个人不认可这部是最好的电影，可以进入经典的范畴，殿堂级还有些距离。大热之后，口碑掺水可以理解，可说不好会挨骂挺奇怪。
苏幼,还行,"
                    2017-04-06 15:18:05
                ",每个人都渴望有自由
为爱浪迹天涯,推荐,"
                    2017-03-17 13:42:01
                ",虽然已经看过很多年了， 但是这个影片在心中一直都是一个永恒的存在。没有卿卿我我的爱情，没有兄弟情深，就是一个绅士般的男主一步一步探索真相的历程。其实我最喜欢的是MOGEN FREEMAN，虽然在很多片子里不是主角，但是本身的魅力让人无法忽视。
原来是你,力荐,"
                    2017-05-07 13:05:02
                ",人在令人绝望的处境里如何才能守住自己不堕落不迷失，如何能够在逆境里坚定的寻求希望，如何在那么多的打击下不放弃……这部电影一部能够永垂史册的电影，无论隔了多少岁月都可以给人以力量
马文才,推荐,"
                    2010-11-27 02:37:11
                ",骗傻子的励志片
秋天的黛西,力荐,"
                    2017-08-18 23:08:49
                ",多年占据top1，果然不无道理。安迪身陷囹圄，漫漫体制十九年，他却能坚持读书，自由之心不为高墙堵断，时刻拥有希望并为之不懈奋斗，这样的人或品质太太珍贵了，提醒自己也要多加勉力。
SELVEN,力荐,"
                    2016-07-21 00:10:34
                ",87/100 人生就是拥有希望和目标然后去经营，不要老了才去后悔那些没有做的事。
布拉德痞特儿,力荐,"
                    2012-08-12 09:53:06
                ",此片真的非常赞，讲述了一个银行家无辜入狱后扔不放弃人生，在关押的19年中，他在狱中建了图书馆并帮助狱友考取了高中文凭，并最终依靠自己的聪明才智成功逃脱出狱，并把邪恶的狱长和狱警拉下水，用为狱长洗来的钱享受着自己的下半生。Ps.《越狱》从这取材不少吧...
fanwiki,很差,"
                    2019-02-21 20:55:25
                ",老套的故事，毫无新意的结尾。肖申克的救赎除了忍辱偷生为了逃跑之外，并没有洗清自己的冤屈，说它是励志片，就有点过了。如果说是对自由的向往，任何一个在牢里被关10年以上的还没麻木的都很渴望自由。
波斯,力荐,"
                    2012-08-14 21:25:48
                ",@是IMDB上ur最高、⑴cu分W友最多的影，也是我所看^最好看的影，此片值得一看再看仔品味
Crush?,推荐,"
                    2017-05-03 17:28:40
                ",恐惧让你沦为囚犯，希望让你重获自由
风轻云淡,力荐,"
                    2020-11-28 08:49:51
                ",是我心中永远的经典，看着安迪获得自由的那一刻太震撼了，那个雨夜永远难忘。
未央,力荐,"
                    2017-05-02 13:22:32
                ",希望永远是关不住的
寒枝雀静,还行,"
                    2015-12-23 22:35:19
                ",……
途经一个你,力荐,"
                    2017-05-15 17:00:16
                ","I guess it comes to a simple choice, get busy living, or get busy dying. "
哆啦C梦,很差,"
                    2016-08-16 22:34:56
                ",电影很好，要客观评价我会给7.5-8分，但是实在理解不了美国人用开跑车海滩游泳重获自由后聚首来诠释救赎，但这和心灵的自由相去甚远，就这个结局不值得被这么捧。我是来拉低平均分的。
SK,还行,"
                    2011-05-22 00:45:37
                ",人们说，影片充满希望，所以富有力量；人们说，影片象征光明，所以蕴含价值；人们说，影片代表自由、信念、人性……不一而足，所以，成为经典。我的人生还算一帆风顺，也自觉心态平和自得其乐，所以本就阳光的我并不感动于大家的共识r(st)q唯有求同存异= =
淋,力荐,"
                    2013-07-24 23:01:54
                ",生命在于不灭的希望和信念，经典的电影之所以经典，因为他们都在做同一件事――让你从不同的角度来欣赏希望的美好。
北辞,推荐,"
                    2017-04-02 19:42:46
                ",经典的影片，比较感动。看到了希望和美好。很励志，正能量。
有有,推荐,"
                    2017-05-10 21:28:25
                ",《肖申克的救赎》，这部影片是无数人爱上电影的起由。每一个镜头，每一句对白，每一条韵律，在我看来都是那么完美无缺。
fuck you ?,力荐,"
                    2017-03-11 15:50:31
                ",是执着，是信念，雷雨交加的晚上是自由的呼唤
判官,推荐,"
                    2015-03-06 21:54:58
                ",话说高一看的，被监狱里三个gay骚扰安迪的场面震撼住，除此之外，人性
卡里加里博士,推荐,"
                    2016-09-30 11:20:17
                ",同样讲的也是自由，但是它放在真实的牢房中隐喻体制，简单明了。肖中说飞鸟聪明所以难囚，而阿甘中追逐羽毛的聪明人才是真的不自由。对比两部电影，一个是看得见的牢房，一个是看不见的，其实阿甘讲的更复杂，只是很多人看不到，以为讲故事的是个傻子。
Parker Li,推荐,"
                    2016-01-07 22:32:44
                ",承载了太多属于影视本身以外的东西，不论是imdb的鹬蚌相争登顶头名，还是因为时代元素而历久弥新从出租市场确定地位（虽然有奥斯卡加持 票房只有不到3k万），它都值得在影史大写特写。但抱歉，作为观众，作为非该时代的非美国观众，个人实在无法打到五星。le trou是最好的越狱题材电影！
桃桃桃桃不掉~,推荐,"
                    2017-04-11 12:00:39
                ",“希望是好事――甚至也许是人间至善。”还有信念、自由
素年锦时,推荐,"
                    2017-04-04 12:43:03
                ",每个人都有一部不得不看的电影。
一线吃瓜群众,力荐,"
                    2017-07-05 22:34:52
                ",和哥哥一起看的，真的全程聚精会神地在看，好想再和小锅看一次电影
salva,力荐,"
                    2014-03-27 01:46:34
                ",很多人推荐它的理由只是越狱影视题材始祖和励志片，这真的小看了这部社会学神片！总体性机构的日常运作、心灵的制度化、科层制下case by case review其实是靠随机性来淘汰人等社会学问题，包括identity theft等非社会学的美国社会问题一应俱全。
? ? ? ? ? ?,推荐,"
                    2020-03-14 19:57:08
                ",豆瓣Top1慕名而来，看到前面不太感兴趣后半渐入佳境，结局的反转有惊喜，有点受鼓舞，这个故事告诉我人要对未来抱有希望，有勇有谋卧薪尝胆为了目标永不放弃铁棒磨成针梦想或许就会成真。背锅入狱的Andy一直被欺负受尽折磨失去希望，直到他的才能被发现帮官员逃税洗钱得以被利用开始有转折。写6年信终获得想要的书籍预算，反抗命令给监狱播放音乐。给监狱成立开放图书馆，教书给大家考文凭。得知自己被陷害谋杀的真相后想澄清却又被惩罚，小伙被枪杀时太讨厌了。在监狱50年的布鲁斯出狱后无法接受外面的社会却选择了上吊自杀。用十九年时间用小铁锤挖出隐藏在海报下的逃生洞，近20年为自己的越狱准备好了一切，设定好虚拟的社会人身份，准备金钱及跑路路线万无一失。四十年后Red出狱怕是要重演老布的道路时，朋友伸出援手重逢于美丽海边
蜜思丝,力荐,"
                    2016-09-01 08:14:09
                ",经典，看过好几遍，每次都能给我鼓励
甜容,力荐,"
                    2017-03-30 23:13:31
                ",看过两遍了。一条漫长的自由之路、一次灵魂深处的洗涤、一部不朽的励志经典，“希望”遵循神的旨意安睡在内页被挖空的《圣经》里，附着在安迪高大的身躯里，匍匐在500码的下水道里，最后，那条仅有的肮脏之路把安迪送往美丽的新世界。
看电影延长生命,力荐,"
                    2023-03-27 21:38:11
                ",无论何种机遇，都不要放弃。请你务必，一而再再而三，三而不竭，千次万次毫不犹豫的救自己于这世间水火
黑伞,推荐,"
                    2021-02-17 11:07:28
                ",下到一个蓝光珍藏版，终于和家属完完整整看了一遍，三个小时的片。其实美国电影在价值观上并不难理解，也没有什么复杂暧昧的东西，甚至情节一旦发展到需要一点复杂的地方时，就用梦幻去填充。所以美国主流电影最执着去呈现的，其实是一种有点梦幻的东西，用电影中的词来说，就是hope。但是，你也实在不能说这是一种浅薄。就像瑞德，他其实已经意识到出狱后的生活和牢狱生活在本质上是一样的，不过是从一个围城走向另一个围城，从一种桎梏落入另一种桎梏，所以他去寻找hope，hope是什么？其实就是自主权，安迪一直都没有丧失的是什么？也是自主权。他凿那个洞真的是一直计划着要逃亡吗？我看不见得，他不过是想通过这种方式拥有自主权，自主权就是hope，也就是那一点点梦幻的可能。
回忆离开回不来｜跳房子,力荐,"
                    2008-10-04 16:38:35
                ",看到一个在监狱里呆了近一辈子的老人在出狱后却在起室里上吊自杀的情景时，毫不夸张的说，眼泪就这么掉下来了。直到流到嘴里才发现。嗯，不知道为什么会哭，或许只是觉得悲哀，其实人是很容易习惯，也很容易被制度化的。
墨玄,推荐,"
                    2017-03-19 19:32:39
                ",关于希望让人自由的最好的注释，有希望才会有未来，没有希望一切都是空谈
李 直气壮.,推荐,"
                    2023-04-26 18:26:53
                ",所谓影史第一，又有多少马太效应的复利？自由谁不向往？但多少人是真正的能有感悟？多少人“为赋新词强说愁”？哎，我却总是觉得，阅历浅薄让我无法与许多伟大共情，“有些人总是忙着生，有些人总是忙着死”人们都知要追求生命的意义，但难道不是大多数人都整日躲在迷茫之中吗？不知道生也不知道死。或许是负有盛名，致使多少会有剧透，但我却还是渴望着热泪盈眶的那天！
Dreamer,力荐,"
                    2011-03-25 22:41:43
                ",我终于明白为什么此片口碑如此好了。出色的剧本，巧妙的手法，杰出的表演。黑暗的司法体系差点毁了他的一生。可再高的城墙和牢笼也锁不住一颗充满希望的心，一个满心寻求自由的人。此刻我才发现《费加罗的婚礼》是天籁。被Morgan Freeman和Tim Robbins的演技折服了。
浣熊小姐,力荐,"
                    2016-05-15 02:06:40
                ",是的，22年过去，它仍然几乎保持着各种电影榜单的TOP1。而十数年来我始终在「BROOKS WAS HERE」那段被触动到盈泪。巨幕厅杜比克环绕音响下摩根弗里曼的旁白和台词太过让人享受。它永远在我看完提升愉悦度榜单名列前茅！
白云飘飘,推荐,"
                    2018-04-13 19:05:47
                ",不错的电影，一部让人明白，在面对不公和挫折时，只有靠自己的智慧才能真正的救赎自己。
小痕呀,推荐,"
                    2017-01-19 21:28:09
                ",我知道向往自由是人的本性，在艰苦的环境之中怎样与自己抗争不人云亦云是多么可贵。
小阿璃_,推荐,"
                    2017-04-30 09:40:35
                ",很经典的电影，对于自由的憧憬，执着的希望
Enjoy?Rachel,力荐,"
                    2011-03-25 00:18:13
                ",#BJIFF2023# 选这部作为本次北影节压轴真是太惊喜！12年前看的情节甚至细节竟然有很多都记得特别清楚，这才是好电影的魅力～全片看下来记住了Tim Robbins是32927，Morgan Freeman是30625^O^ PS:Freeman在电影里说自己是个Free man的时候也挺意味深长～
朝阳区妻夫木聪,力荐,"
                    2014-02-28 23:51:02
                ",到现在才看这部片子，真是好看没的说。果然，经典的东西不管放到什么时候去看都不会褪色。
沁云,推荐,"
                    2020-04-03 11:27:22
                ",时隔20年，情节已记不完整了，于是为明天早上的电影课而熬夜重看。多么流畅的好莱坞商业片，叙事完整、节奏明快，Red的画外音及旁观讲述者视角更为本片增添了传奇色彩：故事一定要由目击者讲出来才是真正意义上的传奇。十几年的狱中努力，救赎了对自由的渴望，以及对希望的信念。当主人公终于站在了碧海蓝天下，那也是观众体验到自由和希望的时刻。
迦南Canaan,推荐,"
                    2013-12-03 17:28:06
                ",非常非常棒，但没有棒到第一的地步。
符小离不是兔妖,力荐,"
                    2018-04-18 13:50:07
                ",经典。
Neroat,推荐,"
                    2014-11-17 09:08:06
                ",很精彩也很传奇。
应有葵花,推荐,"
                    2016-11-18 17:38:15
                ",太经典的电影，多年之前的记忆，执着、希冀和不懈的追逐，心灵的救赎和灵魂的洗礼。
双叶杏子,推荐,"
                    2017-03-17 12:52:48
                ",影响很深刻，很小的时候看的片子，但是我有点忘记了 他为什么越狱了就救赎了自己？
你不喜欢文渊吗,推荐,"
                    2017-06-17 16:49:07
                ",有了目标才有动力啊
莱尼圆,力荐,"
                    2009-09-02 19:51:07
                ",影片是关于希望与信念的最好诠释，塑造了一个运用机智才华和精神意志抗争罪恶体制的伟大形象，肖申克如同一个社会缩影，主人公安迪在这个五脏俱全的生态系统中白手起家浴血重生。它之所以如此感动世人，是因为每个人或多或少都身处围墙之中，却未放弃有朝一日展翅飞翔的努力，而安迪这只羽翼光辉的鸟就给予了极大的慰藉。制度化对人性的禁锢是影片的另外一个重要主旨，老布的结局让人扼腕叹息。影片是原著文学改编电影的杰出典范，同样采用旁白视角串联故事构建人物，最大限度地保持主人公的神秘感，同时丰富了剧情内容，缩短了逃狱时间轴，将同类型人物集中化，让矛盾冲突更尖锐，最后的复仇也酣畅淋漓，“得救之道就在其中”。
番茄加糖,推荐,"
                    2023-02-12 00:02:38
                ",看完有两天了，但是……但是看完后的失望此刻还是没有忘记。改编得很好，但我更喜欢原著中那个提前搬走古董书画的安迪，那个没想到飓风会吹这么久，但仍旧提前做足了准备，费力爬过狭小肮脏让人呕吐的地道，然后像一缕烟消失的安迪，那个披着自由的隐形衣飞出了肖申克的安迪。原著给我的震动太大了，反而对电影感觉到失望。我想我会把小说重新看好多遍，而不是把电影重刷好多遍。
kerrysun,力荐,"
                    2012-08-31 12:48:44
                ",有些电影，不看个四五遍，我是觉得真没有发言权。而这部电影是每个人的人生灯塔，并没有言过其实。全世界影迷心中的第一名，激励无数失意之人再次出发勇往直前。“挫折”、“心态”、“学识”、“机会”和“时间”这五个电影中的关键词，也在我们每个人的一生中极其有分量，对它们的不同认知，也会让你拥有不一样的人生。当Andy和Red在海滩拥抱时，对于与他们一同经历过一切的我们来讲，那份感动和满足，无以言表。
qw0aszx,推荐,"
                    2015-11-28 21:04:22
                ",多年后看意外没有减分严重
我呼吸的空气,力荐,"
                    2013-08-08 09:18:37
                ",当这部片被越来越多的人奉为最喜爱的电影时，它在我心中的地位不由地下降。故事很传奇，演员表演完美，Morgan Freeman的旁白...
塔塔君Minkun,力荐,"
                    2015-04-19 04:56:37
                ",开头蠢到以为Andy深谙救赎之道，并不然，真正的救赎必定是海报上的场景出现的时候。毕竟这不是Andy的救赎，而是肖申克的救赎。
一个无情的杀手,力荐,"
                    2016-05-06 11:58:56
                ",他们说这是治疗抑郁症最好的电影还好我在自己快要得抑郁症的时候看了它它真的好精彩比起那些绚丽的特效激昂的动作片更容易走近我内心
明天你好,力荐,"
                    2018-05-13 16:28:58
                ",当瑞德说他也已经习惯了体制的时候，我也信了，觉得有的人注定是要被束缚在一个小小的天地里，可是当他最后找到安迪的时候，真的看到了一种前所未有的反差，看到希望的最强音，那是以为只是以为而已，希望之外确有一番新天地！
峰峰峰峰,还行,"
                    2012-06-20 20:06:05
                ",有一种鸟儿是永远也关不住的，因为它的每片羽翼上都沾满了自由的光辉。
? ? ? ? ?,力荐,"
                    2015-09-03 21:49:45
                ",toptoptop，希望，自由之源
烬灭之炎,力荐,"
                    2010-07-24 03:15:46
                ","Red narrating: I have to remind myself that some birds don’t mean to be caged . Their feathers are just too bright. And when they fly away, the part of you that knows it was a sin to lock them up. DOES rejoice. Still, the place you live in is that much more drab and empty that t"
青简,力荐,"
                    2010-06-09 19:32:47
                ",构思很独特
旺旺小小酥lili,力荐,"
                    2021-02-26 00:08:32
                ",20岁时老师在课上分析该片，被平淡的叙事基调打退，不知为何经典。23岁这个宁静的夜晚独自观看，懂得，平凡的事物也可以做出非凡的精彩，是金子在哪里都可以发光。它和《阿甘正传》的味道很相似，细嚼慢咽，点点甜汇聚成令人回味无穷的甜美。它的成功在于它是一颗带给人希望的药丸，我看完它，我感受到生活的希望，我们知道生活终会苦尽甘来，即使现在很糟心。心灵的欲望会迸发出无穷的力量，我们的所想会引领我们到达自己想要去的地方。不得不说，最后安迪的逃跑有着浓烈的理想主义色彩和点点不切实际，但确实有震撼到我。与其像阿布一样年老体衰失去价值“被抛弃”，不如趁着还年轻飞往自由的天空。自由不是完全放任自我，而是心之所向，让此心安宁的地方，有希望才有活下去的动力，我希望我也能找到我生命的火花。
Iridescent,还行,"
                    2019-04-05 14:44:13
                ",影史第一它肖申克担不起
Odair,力荐,"
                    2023-04-28 21:42:17
                ",2023年北影节最后一部观影，结束在这部豆瓣电影永远的Top 1。它的经典早已无需我来赘述。人活于世，哪怕身陷囹圄，依然不要放弃希望，和自由。在大银幕上看经典，果然是难以描述的震撼。
djj,力荐,"
                    2010-09-28 17:00:26
                ",哥的人生只有40年，40年来看过得最好的电影就是他。（哥估计今后也不会有超越它甚至能跟他一较高下的电影）。是的，因为他，哥到现在仍不喜欢阿甘正传，不是阿甘不好，只怪它抢了肖的风头。
泽帆,力荐,"
                    2008-08-25 21:43:55
                ",让我过瘾很久，特别是最后的蓝色大海。
rock442,很差,"
                    2019-04-13 23:06:53
                ",一个地道挖二十年没人发现  侮辱观众智商  偏偏吹成第一  强奸民意
Jonathan,力荐,"
                    2015-07-19 09:26:10
                ",要经常看一些经典的电影，就想读一些经典名著一样，其中获得的震撼和萦绕于心的感悟是深刻而持久的。时隔20多年再去回顾1994年的这部经典中的经典真是依旧让人亢奋。两个多小时意犹未尽，最后的I Hope激起了一身鸡皮疙瘩。
晴耕雨读,力荐,"
                    2016-05-14 22:17:00
                ",能在大荧幕看到，是一种幸运。160514，新衡山。
达力猿,还行,"
                    2017-04-19 01:27:24
                ",打三星不是因为不是好片。这部片不管在什么角度都是标准的教科书级别。个人原因不怎么喜欢太中正的电影，而且看过原著所以没多大感觉。印象最深的是安迪的唯一证人被枪杀的那一段。希望，希望，为什么一定要满怀希望？我们从没逃出过牢笼啊。
海獭,力荐,"
                    2008-08-09 15:54:28
                ",有些鸟儿是不能关在笼子里的，它们的羽毛太漂亮了。当它们开始飞翔，你会觉得把它们关起来是种罪恶。但是，它们不在了定会让你感到寂寞
卡比巴拉的海,力荐,"
                    2017-04-06 10:33:49
                ",希望让人自由
乐事,推荐,"
                    2016-05-23 20:50:37
                ",好想给五星！！！！但是作为一个豆瓣新人 一开始给五星是会被当作水军自动清除的。只能用四星表达我对一部1000年内都不会差的好片的致敬。我总在想 什么是好电影 其实无非就是看了内心是充实的 而不是哈哈哈或者哇哇哇 而是充盈着满足感 一份看对了电影得到了营养的满足感。
九9,力荐,"
                    2011-08-11 23:51:57
                ","""Hope is a good thing maybe the best of things. And no good thing ever dies.""名不虚传，94年是上帝想看电影的一年。致敬。"
哎呦喂啊倩倩,力荐,"
                    2012-03-02 14:59:08
                ",I guess it comes down to a simple choice: get busy living or get busy dying.想借这部如此沉重的电影写些什么，却似乎只有无语。总是这样，看完好电影，仿佛失去了所有的语言能力。喜欢摩根?弗里曼稳稳的，缓缓的旁白，和波澜不惊的表情 。
陌上花开枫叶,力荐,"
                    2016-04-01 21:59:31
                ",安迪二十年的自我救赎让人震撼，布鲁克自杀让人痛心却又不意外，瑞德找到了自己的希望没有成为第二个布鲁克。经典的电影总是能打动人心
V for Vendetta,力荐,"
                    2022-03-16 17:29:55
                ",这不是我们第一次面对黑暗，也不会是我们最后一次心怀光明
Michael,力荐,"
                    2014-01-01 19:23:49
                ",其实这片子基本可以不用说什么了  不管是国外的IMDB还是国内的时光网和豆瓣这片子都是排名第一  这就足矣证明这部片子了（BBC评选的"未获奥斯卡奖的最佳影片"1 The Shawshank Redemption肖申克的救赎 1994 2 It's a Wonderful Life生活多美好 1946）Fear can hold you prisoner. Hope can set you free
金田中,力荐,"
                    2016-08-25 14:59:17
                ",是典，到最後人的救H可能只有自己的思想是不屈的。渴望自由е恨渴望自由， 忍受苦y忍受本不有的苦y。而期g自由的p松的唯有我自己的精神世界。
长安,力荐,"
                    2010-09-22 21:56:16
                ",印象最深刻的就是老人上吊的时候~人有的时候真的应该坚持自己的信念~不要习惯环境沉溺环境以致无法脱离~那是悲剧的人生
